typefield;date
0001;2011-01-03
0002;2011-01-04
0003;2011-01-05
0004;2011-01-06
0005;2011-01-07
0006;2011-01-10
0007;2011-01-11
0008;2011-01-12
0009;2011-01-13
0010;2011-01-14
0011;2011-01-17
0012;2011-01-18
0013;2011-01-19
0014;2011-01-20
0015;2011-01-21
0016;2011-01-24
0017;2011-01-25
0018;2011-01-26
0019;2011-01-27
0020;2011-01-28
0021;2011-01-31
0022;2011-02-01
0023;2011-02-02
0024;2011-02-03
0025;2011-02-04
0026;2011-02-07
0027;2011-02-08
0028;2011-02-09
0029;2011-02-10
0030;2011-02-11
0031;2011-02-14
0032;2011-02-15
0033;2011-02-16
0034;2011-02-17
0035;2011-02-18
0036;2011-02-21
0037;2011-02-22
0038;2011-02-23
0039;2011-02-24
